system:index,dong,grid_id,gu,mean,.geo
00000000000000000412,한남동,G_1122,용산구,275.34198227,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.53475958164599]}"
00000000000000000413,한남동,G_1123,용산구,275.88715645999997,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.53475958164599]}"
00000000000000000414,한남동,G_1124,용산구,274.19181854,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.53475958164599]}"
00000000000000000415,한남동,G_1125,용산구,277.35177803,"{""type"":""Point"",""coordinates"":[127.0145282052053,37.53475958164599]}"
00000000000000000416,한남동,G_1126,용산구,275.30780207,"{""type"":""Point"",""coordinates"":[127.0200262768042,37.53475958164599]}"
00000000000000000450,한남동,G_1188,용산구,277.34836001,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.53925881460892]}"
00000000000000000451,한남동,G_1189,용산구,277.25436446,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.53925881460893]}"
00000000000000000452,한남동,G_1190,용산구,275.59149773,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.53925881460893]}"
00000000000000000493,한남동,G_1258,용산구,275.40863365999996,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.5437625066729]}"
00000000000000000494,한남동,G_1259,용산구,276.36567926,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.5437625066729]}"
000000000000000004d9,한남동,G_1334,용산구,275.78461586000003,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.54826173963583]}"
000000000000000004da,한남동,G_1335,용산구,276.76046056999996,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.54826173963583]}"
0000000000000000048c,효창동,G_1251,용산구,278.39427413,"{""type"":""Point"",""coordinates"":[126.9595296528121,37.5437625066729]}"
000000000000000004d5,후암동,G_1330,용산구,279.64014241999996,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.54826173963583]}"
000000000000000004d6,후암동,G_1331,용산구,278.3036966,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.54826173963583]}"
00000000000000000521,후암동,G_1408,용산구,277.44235556,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.55276097259876]}"
00000000000000000840,갈현1동,G_2268,은평구,278.05589015,"{""type"":""Point"",""coordinates"":[126.91002917201781,37.62476207730875]}"
00000000000000000841,갈현1동,G_2269,은평구,276.55196134999994,"{""type"":""Point"",""coordinates"":[126.9155272436167,37.624762077308745]}"
00000000000000000865,갈현1동,G_2307,은평구,277.94309549,"{""type"":""Point"",""coordinates"":[126.9155272436167,37.62926131027167]}"
000000000000000007f5,갈현2동,G_2188,은평구,276.93990662,"{""type"":""Point"",""coordinates"":[126.91002917201781,37.615759152281846]}"
000000000000000007f6,갈현2동,G_2189,은평구,276.37251530000003,"{""type"":""Point"",""coordinates"":[126.9155272436167,37.615759152281846]}"
0000000000000000081b,갈현2동,G_2228,은평구,277.61154754999995,"{""type"":""Point"",""coordinates"":[126.91002917201781,37.62026284434582]}"
0000000000000000081c,갈현2동,G_2229,은평구,276.20332331,"{""type"":""Point"",""coordinates"":[126.9155272436167,37.62026284434582]}"
000000000000000007a6,구산동,G_2105,은평구,277.25436446000003,"{""type"":""Point"",""coordinates"":[126.90452664131784,37.60676068635599]}"
000000000000000007a7,구산동,G_2106,은평구,276.51436313,"{""type"":""Point"",""coordinates"":[126.91002917201781,37.60676068635599]}"
