도로폭,시점,Latitude,Longitude,종점,Latitude,Longitude
5,군자동 125-54,37.5530854,127.0704544,군자동 125-36,37.5521755,127.0709157
4,군자동 125-23,37.5533944,127.0706427,군자동 125-111,37.5528219,127.0716519
5,군자동 127-18,37.5540869,127.0710445,군자동 125-193,37.5535201,127.0717308
5,군자동 130-8,37.5546662,127.0713405,군자동 130-36,37.5530245,127.0722723
4,자양동 197-9,37.5360427,127.0624253,자양동 197-31,37.5353867,127.0628765
8,자양동 235-3,37.5365058,127.0612163,자양동 51-37,37.5356582,127.0648356
7,군자동 134-53,37.5549721,127.0715197,군자동 116-1,37.5541951,127.0726972
7,군자동 134-53,37.5549721,127.0715197,군자동 146-10,37.5540279,127.0733535
5,군자동 134-33,37.555582,127.0718721,군자동 144-10,37.5552582,127.0727605
7,군자동 158-6,37.5558081,127.0732773,군자동 117-11,37.5544717,127.0725605
7,군자동 194-2,37.5564031,127.0723437,군자동 48-19,37.5552961,127.0753424
4,군자동 157-6,37.5556923,127.074141,군자동 36-0,37.5565151,127.0745296
6,군자동 58-12,37.5555925,127.0744564,군자동 35-1,37.5564883,127.0749338
4,군자동 60-76,37.5553683,127.0750723,군자동 60-46,37.5550216,127.0734414
6,군자동 464-6,37.5577697,127.0731164,군자동 465-38,37.5581845,127.0744524
9,군자동 463-3,37.5587566,127.0736859,군자동 467-18,37.5576011,127.0765006
8,중곡동 613-7,37.5600874,127.0744255,중곡동 625-9,37.560169,127.0757342
6,중곡동 614-4,37.5610195,127.0750662,중곡동 624-20,37.5602081,127.0771711
7,중곡동 252-6,37.561954,127.0755667,중곡동 256-7,37.5608736,127.0783318
7,중곡동 249-20,37.5630418,127.0760588,중곡동 245-6,37.5621308,127.0789381
7,중곡동 235-7,37.5649355,127.0772102,중곡동 231-8,37.5639171,127.079976
7,중곡동 190-37,37.5662121,127.0779369,중곡동 192-28,37.5652184,127.0807384
5,중곡동 190-4,37.5673486,127.078553,중곡동 191-37,37.5664608,127.080678
8,중곡동 187-11,37.5678174,127.0792326,중곡동 181-2,37.5703641,127.080193
10,중곡동 187-12,37.5679452,127.0788535,중곡동 691-9,37.5681982,127.082279
4,중곡동 696-8,37.567861,127.0799766,중곡동 684-9,37.5691501,127.0805192
7,중곡동 181-14,37.569601,127.079722,중곡동 175-27,37.5686345,127.0825936
6,중곡동 589-5,37.5705311,127.0801244,중곡동 572-4,37.5700784,127.0824452
7,자양동 202-41,37.5357816,127.0614551,자양동 52-105,37.5348972,127.064666
7,자양동 238-10,37.5367436,127.0621483,자양동 57-156,37.5343536,127.0624531
6,자양동 843-8,37.5372821,127.0652375,자양동 841-13,37.5388202,127.065845
7,자양동 843-11,37.5372775,127.0646348,자양동 4-4,37.5381557,127.0684561
9,자양동 52-6,37.5363432,127.0638204,자양동 57-8,37.5333006,127.0634554
3,자양동553-130,37.5365969,127.0651881,자양동 553-175,37.5369177,127.0657752
7,자양동 45-1,37.5362921,127.0651929,자양동 44-1,37.5369471,127.0644873
3,자양동45-46,37.5362005,127.0645466,자양동 48-55,37.5341512,127.0666413
6,자양동 553-323,37.5361749,127.0658308,자양동 11-1,37.5387034,127.0666848
4,자양동 45-34,37.5360587,127.0649498,자양동 48-55,37.5341512,127.0666413
5,자양동 553-15,37.5361413,127.0662794,자양동 553-396,37.5373301,127.0664831
5,자양동 47-1,37.5354461,127.066066,자양동 52-89,37.5347637,127.0650453
9,자양동 553-276,37.5358423,127.0659301,자양동 553-651,37.5342551,127.0677841
5,자양동 553-202,37.5358268,127.0674223,자양동 553-9,37.5366548,127.066874
9,자양동 553-203,37.5357334,127.0674057,자양동 4-1,37.5380983,127.0686599
5,자양동 48-53,37.5340723,127.0668703,자양동 48-38,37.5343622,127.067279
9,자양동 553-329,37.5354022,127.0675809,자양동 64-11,37.5336657,127.066735
9,자양동 507-6,37.5355048,127.0691643,자양동 533-2,37.5370226,127.0700899
8,자양동 553-473,37.534745,127.0700454,자양동 854,37.5318919,127.0679483
8,자양동 553-43,37.5350424,127.0700693,자양동 533-2,37.5370226,127.0700899
6,자양동 787,37.5322136,127.0716289,자양동 474-24,37.5312205,127.072726
11,자양동 553-502,37.5340724,127.0718277,자양동 809,37.5313062,127.06965
12,자양동 553-41,37.5347885,127.0712566,자양동 533-2,37.5370226,127.0700899
6,자양동 559-19,37.5363173,127.0729979,자양동 464-1,37.5328213,127.0733305
7,자양동 520-2,37.5332679,127.073985,자양동 477-20,37.5310343,127.0713546
10,자양동 520-9,37.5336296,127.0749787,자양동 578-7,37.535537,127.0754172
9,자양동 610-12,37.5332146,127.0762218,자양동 612-17,37.5342445,127.0777238
6,자양동 608-17,37.5328371,127.0762722,자양동 591-0,37.5300737,127.0755326
6,자양동 609-22,37.5329729,127.0770812,자양동 614-23,37.533938,127.0783231
9,자양동 607-17,37.5325934,127.0771845,자양동 705-0,37.5289443,127.0765565
6,자양동 615-14,37.5327849,127.0776026,자양동 621-51,37.5345847,127.0795469
7,자양동 607-13,37.5323681,127.0777004,자양동 705-0,37.5289443,127.0765565
7,자양동 615-45,37.5325518,127.0783791,자양동 625-5,37.5350797,127.0809757
7,자양동 606-17,37.5322163,127.0784415,자양동 594-0,37.5293839,127.0775297
7,자양동 616-34,37.5323537,127.0790092,자양동 612-60,37.5358769,127.0826543
9,자양동 636-11,37.5315341,127.0796402,자양동 652-38,37.5308633,127.0824316
16,자양동 636-10,37.5317573,127.0797341,자양동 642,37.5286006,127.0782817
6,자양동 637-3,37.5309436,127.0792812,자양동 650-6,37.5298767,127.0825684
6,자양동 639-0,37.5302555,127.0789455,자양동 650-42,37.5296602,127.0816389
9,자양동 639-11,37.5299083,127.078801,자양동 666-0,37.5292882,127.0828649
