,교량명,시도명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도
8565,반포대교,서울특별시,37.51001,126.998721,37.51898,126.994365
8566,원효대교,서울특별시,37.522204,126.936693,37.531411,126.954116
8567,한남대교(하류),서울특별시,37.523629,127.016453,37.530249,127.010317
8568,한남대교(상류),서울특별시,37.530096,127.009909,37.523425,127.01611
8569,한강대교(구교),서울특별시,37.513806,126.956433,37.521839,126.961626
8570,한강대교(신교),서울특별시,37.513959,126.956111,37.521975,126.961369
8571,용비교,서울특별시,37.545637,127.027566,37.544992,127.033215
8572,성수대교,서울특별시,37.532163,127.034207,37.542542,127.035902
8573,동호대교,서울특별시,37.532235,127.023885,37.540011,127.018434
8574,올림픽대교,서울특별시,37.528006,127.11052,37.539424,127.098118
8575,잠실철교(도로교),서울특별시,37.52322,127.102362,37.534298,127.095238
8576,비우당교,서울특별시,37.570602,127.026554,37.57097,127.02671
8577,구룡교,서울특별시,37.579789,126.875373,37.575507,126.865633
8578,신정교,서울특별시,37.517926,126.875046,37.516216,126.881671
8579,가양대교,서울특별시,37.574673,126.864941,37.564503,126.857431
8580,금천교,서울특별시,37.465036,126.884389,37.465524,126.885968
8581,양평교,서울특별시,37.539738,126.890198,37.538446,126.883536
8582,봉은교,서울특별시,37.515512,127.067119,37.515709,127.069325
8583,탄천1교,서울특별시,37.499835,127.081224,37.500482,127.083368
8584,광진교,서울특별시,37.542548,127.120272,37.546036,127.109157
8585,광명고가교,서울특별시,37.49134,126.86945,37.492995,126.868998
8586,행주대교(상류교),서울특별시,37.592298,126.804567,37.603631,126.815092
8587,행주대교(하류),서울특별시,37.603594,126.814639,37.591828,126.803753
8588,숯내교,서울특별시,37.478536,127.114709,37.479202,127.116247
8589,한남1고가도로교,서울특별시,37.53947,127.004031,37.542218,127.00161
8590,워커힐고가도로교,서울특별시,37.552601,127.111324,37.560049,127.114414
8591,보라매고가도로교,서울특별시,37.485496,126.900512,37.489536,126.916721
8592,사당고가도로교,서울특별시,37.476648,126.980261,37.476288,126.983618
8593,이수고가도로교,서울특별시,37.500656,126.983726,37.498295,126.987436
8594,두무개다리고가도로교,서울특별시,37.530619,127.011133,37.539281,127.016757
8595,모래내고가교,서울특별시,37.566277,126.914955,37.566705,126.921321
8596,오류고가도로교,서울특별시,37.493959,126.831137,37.49061,126.833338
8597,영등포역고가도로교,서울특별시,37.516834,126.901912,37.513452,126.908692
8598,선유고가도로교,서울특별시,37.530204,126.891051,37.530635,126.893647
8599,영동대교북단고가교,서울특별시,37.53465,127.059796,37.539307,127.062351
8600,구리암사대교,서울특별시,37.564925,127.13555,37.573378,127.12804
8601,겸재교,서울특별시,37.585024,127.072394,37.585602,127.074962
8602,메뚜기다리,서울특별시,37.62899,126.929704,37.629301,126.929964
8603,서해안로 연결램프교,서울특별시,37.496118,126.850277,37.494691,126.848188
8604,아천IC Ramp-B,서울특별시,37.5723,127.126394,37.573499,127.128965
8605,아천IC Ramp-C,서울특별시,37.57206,127.12732,37.571386,127.129809
8606,암사 IC Ramp-G,서울특별시,37.567325,127.133362,37.56488,127.132763
8607,암사IC Ramp-A,서울특별시,37.565492,127.134918,37.566157,127.136178
8608,암사IC Ramp-D,서울특별시,37.567323,127.133373,37.564873,127.132735
8609,암사IC Ramp-E,서울특별시,37.565756,127.134273,37.56622,127.134328
8610,월드컵대교(접속교),서울특별시,37.562627,126.888958,37.560968,126.887763
8611,응봉교,서울특별시,37.551373,127.035303,37.54749,127.036557
8612,월드컵대교 남단연결로 RAMP-A교,서울특별시,37.553082,126.883865,37.549647,126.886105
8613,월드컵대교 남단연결로 RAMP-F교,서울특별시,37.550602,126.8823,37.54794,126.883295
8614,월드컵대교 남단연결로 강남RAMP-BR2교,서울특별시,37.547768,126.883629,37.550542,126.882538
8615,월드컵대교 남단접속교(강남방향),서울특별시,37.549836,126.885831,37.553082,126.883863
8616,월드컵대교 남단접속교(강북방향),서울특별시,37.552847,126.883639,37.550521,126.882443
8617,월드컵대교 북단연결로 RAMP-D교,서울특별시,37.559859,126.887126,37.562754,126.88925
8618,월드컵대교 북단연결로 RAMP-E교,서울특별시,37.55875,126.886553,37.560474,126.890025
8619,월드컵대교 북단접속교(강남방향),서울특별시,37.561543,126.888006,37.562469,126.886488
8620,월드컵대교 북단접속교(강북방향),서울특별시,37.559885,126.887368,37.560446,126.890208
8621,월드컵대교 주경간교,서울특별시,37.559827,126.887325,37.553159,126.883732
8622,사성교(오류IC방향),서울특별시,37.491997,126.872415,37.492407,126.868829
8623,사성교(구로IC방향),서울특별시,37.492471,126.869434,37.492069,126.872284
